"month","value"
2014-01,110.99
2014-02,111.28
2014-03,111.37
2014-04,111.35
2014-05,111.53
2014-06,112.01
2014-07,113.05
2014-08,113.58
2014-09,113.89
2014-10,114.42
2014-11,116.14
2014-12,119
2015-01,118.71
2015-02,118.28
2015-03,118.48
2015-04,118.91
2015-05,119.8
2015-06,120.14
2015-07,121.26
2015-08,121.73
2015-09,121.67
2015-10,121.57
2015-11,121.82
2015-12,122.99
2016-01,123.62
2016-02,123.51
2016-03,123.75
2016-04,123.19
2016-05,123.48
2016-06,124.29
2016-07,125.15
2016-08,125.13
2016-09,125.41
2016-10,125.59
2016-11,126.18
2016-12,126.71
2017-01,127.94
2017-02,128.24
2017-03,128.22
2017-04,128.33
2017-05,128.83
2017-06,129.72
2017-07,130
2017-08,129.91
2017-09,130.08
2017-10,130.09
2017-11,130.35
2017-12,131.28
2018-01,132.1
2018-02,132.32
2018-03,132.58
2018-04,132.71
2018-05,132.99
2018-06,133.77
2018-07,134.14
2018-08,134.07
2018-09,133.83
2018-10,134.2
2018-11,134.56
2018-12,135.39
2019-01,135.83
2019-02,135.72
2019-03,135.87
2019-04,136.47
2019-05,137.40
2019-06,138.16
